|wheels|maltese cross (12x6.5mm front, 10x5.5mm rear)|maltese cross 12x6.5mm front / maltese cross 10x5.5mm rear|
|wheels|maltese cross (10x5.5mm front, 12x6.5mm rear)|maltese cross 10x5.5mm front / maltese cross 12x6.5mm rear|
EA53c|interior|(A)|interior / with dashboard / with steering wheel / with tow hook
EA53c|interior|(B)|interior / with dashboard / with steering wheel / no tow hook
EA53c|interior|(C)|interior / no dashboard / no steering wheel / no tow hook 
EA59c|base_type|B|one piece base insert / with
EA59c|base_type|C|two piece base insert / no
MI059|base|(A)|/ no axle braces / with / without scale / with rear license plate / thin
MI059|base|(B)|/ axle braces / without / without scale / with rear license plate / thin
MI059|base|(C)|/ axle braces / without / without scale / with rear license plate / thick
MI059|base|(D)|/ axle braces / without / with scale / without rear license plate / thick
LS62c|base|(A)|, backslash marks
LS62c|base|(B)|, slash and backslash marks
LS71c|grille|A|separate headlights
LS71c|grille|B|connected headlights
LS72e|wheels_hubs|,| / 
LS73b|wheels_hubs|,|/
MI1773|wheels_hubs|,|/
MI072|wheels_hubs|,| / 
MI095|body|(A)|/ raised
MI095|body|(B)|/ flat
MI129|roof_light|A|with metal center
MI129|roof_light|B|
MI205|grille|A|Mercedes logo
MI205|grille|B|dot
MI210|base_type|A|blank center
MI210|base_type|B|straight lettering
MI210|base_type|C|slant lettering
MI212|wheels|9 spoke GY rear / GY slicks front|GY slicks front / 9 sp GY rear
MI229|base|(A)|, straight "MADE IN CHINA"
MI229|base|(B)|, italic "MADE IN CHINA"
MI268|base_type|A|1993 (narrow)
MI268|base_type|B|1993 (wide)
MI268|base_type|C|1996
MI268|grille_type|A|structured
MI268|grille_type|B|smooth
MI281|base|(A)|/ A
MI281|base|(B)|/ B
MI281|base|(C)|/ C
MW295|base|(A)|, classic logo
MW295|base|(B)|, oval logo
MW325|base|(A)|, classic logo
MW325|base|(B)|, oval logo
MI327|wheels|PC 5 spoke directional GY (rear GY slicks)|PC 5 spoke directional GY, GY slicks
MW358|base|(A)|, classic logo
MW358|base|(B)|, oval logo
MW359|base|(A)|, classic logo
MW359|base|(B)|, oval logo
MW360|base|(A)|, classic logo
MW360|base|(B)|, oval logo
MW366|base|(A)|, classic logo
MW366|base|(B)|, oval logo
MW367|base|(A)|, classic logo
MW367|base|(B)|, oval logo
MW367|roof|r/\bclear\b|colorless
MW368|base|(A)|, classic logo
MW368|base|(B)|, oval logo
MW369|base|(A)|, classic logo
MW369|base|(B)|, oval logo
MW371|base|(A)|, classic logo
MW371|base|(B)|, oval logo
MW372|base|(A)|, classic logo
MW372|base|(B)|, oval logo
MW379|base|(A)|, classic logo
MW379|base|(B)|, oval logo
MW380|base|(A)|, classic logo
MW380|base|(B)|, oval logo
MW390|base|(A)|, classic logo
MW390|base|(B)|, oval logo
MW402|base|(A)|, classic logo
MW402|base|(B)|, oval logo
#MW407|base|(A)|, classic logo
#MW407|base|(B)|, oval logo
#MW407|hull|(A)|
#MW407|hull|(B)|
MW416|base|(A)|, classic logo
MW416|base|(B)|, oval logo
MW417|base|(A)|, classic logo
MW417|base|(B)|, oval logo
MW420|base_type|r/^A$|1999 / CHEVROLET IMPALA / old
MW420|base_type|r/^B$|1999 / CHEVROLET IMPALA / new
MW420|base_type|r/^C$|1998, 2000 / CHEVROLET IMPALA / new
MW423|base|(A)|, classic logo
MW423|base|(B)|, oval logo
MW427|base|(A)|, classic logo
MW427|base|(B)|, oval logo
MW429|base|(A)|, classic logo
MW429|base|(B)|, oval logo
MW430|body|gray / brown|gray-brown
