d|blue body, "Team Honda" labels, exposed engine
d|blue body, "Team Honda" labels, no engine-hood labels

m|1961|  7|A|Curtiss Wright Rear Dumper
d|yellow body and dump

m|1967|  7|B|Refuse Truck
d|red cab, silver-gray rear tipper, "Cleansing Service" decals, regular wheels
d|red cab, silver-gray rear tipper, "Cleansing Service" labels, regular wheels
d|red cab, red and silver-gray rear tipper, "Cleansing Service" labels, SuperFast wheels
d|dark-blue cab, orange rear tipper, yellow/black/white labels, SuperFast wheels

m|1973|  7|C|Racing Car Transporter
d|SuperFast wheels
d|yellow body, red gate,"Team Matchbox" labels
d|white body and gate,"Martini Racing" labels

m|1962|  8|A|Prime Mover and Caterpillar Tractor
d|orange mover and trailer, "LAING" decals,  yellow tractor

m|1967|  8|B|Guy Warrior Car Transporter
d|blue-green cab, orange trailer
d|blue-green cab, yellow trailer
d|yellow cab, yellow trailer

m|1970|  8|C|Caterpillar Traxcavator
d|yellow body and shovel, green treads
d|yellow body, orange shovel, green treads
d|yellow-orange body, orange shovel, green treads
d|yellow-orange body, orange shovel, black treads
d|silver-gray body, orange shovel, black treads

m|1980|  8|D|Animal Transporter
d|orange cab, brown chassis, tan container, "Amitran" labels, SuperFast wheels

m|1989|  8|E|Ferrari F40
d|SuperFast wheels
d|red body, small logo tempa
d|white body
d|white body, "Ferrari" tempa
d|red body, "Ferrari" tempa
d|lime body, caricature tempa

m|1962|  9|A|Diesel Road Roller
d|green body, red rollers, gray driver
d|green body, red rollers, red driver

m|1967|  9|B|Class Combine Harvester
d|green body, red rotor, "Class" decal, white driver
d|green body, red rotor, "Class" decal, no driver
d|green body, red rotor, "Class" label, white driver
d|red body, yellow rotor, "Class" label, tan driver
d|red body, yellow rotor, "Class" label, no driver

m|1973|  9|C|Fire Tender
d|SuperFast wheels
d|red body, gray ladder
d|red body, white ladder
d|red body, black ladder

m|1963| 10|A|Aveling Barford Tractor Shovel
d|blue-green body, air cleaner cast
d|blue-green body, no air cleaner cast

m|1967| 10|B|Pipe Truck
d|yellow body and trailer, decals, gray plastic pipes, regular wheels
d|yellow body and trailer, labels, gray plastic pipes, regular wheels
d|purple body and trailer, labels, gray plastic pipes, SuperFast wheels
d|purple body and trailer, labels, yellow plastic pipes, SuperFast wheels
d|purple body and trailer, labels, orange plastic pipes, SuperFast wheels

m|1976| 10|C|Car Transporter
d|SuperFast wheels
d|red body and trailer, "Auto Transport" labels
d|red body and trailer, mustang horse labels
d|red body and trailer, "4" labels

m|1981| 10|D|Bedford Car Transporter
