formatter|man|tomica|Tomica Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
style|.table|bgc,#FFFFFF
data|m|id,subid,first_year,scale,rawname,desc
data|H|year,label,title

H|1970|m|Tomica Models


m| 15|  1|1971|  1:60|Toyota Corona 1700HT SL
m| 15|  2|1976|  1:56|Nissan Sunny Coupe Racing
m| 15|  3|1979|  1:61|Fairlady 280Z-T
m| 15|  4|1984|  1:61|Nissan Fairlady Z 300ZX
m| 15|  5|1990|  1:59|Nissan Fairlady Z
m| 15|  6|2002|  1:54|Daihatsu Copen
m| 15|  7|2007|  1:67|Hummer H2

m| 16|  1|1971|  1:60|Mazda Cosmo Sports
m| 16|  2|1974| 1:102|Nissan Diesel Dump Truck
m| 16|  3|1998|  1:58|Toyota Corolla Spacio
m| 16|  4|2002|  1:62|Mazda Atenza
m| 16|  5|2007|  1:60|Suzuki Swift Sport Rallycup Car
m| 16|  6|2012| 1:171|Isuzu Gala JR Bus Tohoku

m| 17|  1|1971|  1:58|Nissan Cherry X1
m| 17|  2|1975|  1:56|Nissan Cherry Fii 1400GX
m| 17|  3|1979|      |Dd13 Diesel Locomotive
m| 17|  4|1981|  1:64|Nissan Bluebird 1800 Turbo SSS-XG
m| 17|  5|1984|  1:58|Honda Civic 3Door
m| 17|  6|1990|  1:65|Toyota Celsior
m| 17|  7|2001|  1:65|Toyota Celsior
m| 17|  8|2008|  1:63|Nissan Cube
m| 17|  9|2012|  1:58|Nissan March Patrol Car

m| 18|  1|1971|  1:54|Honda Tn360 Truck
m| 18|  2|1974|  1:62|Nissan Bluebird U 2000GT-X
m| 18|  3|1977|  1:63|Mitsubishi Galant Lamda 2000GSR
m| 18|  4|1980|  1:68|Toyota Dyna Vacuum Car
m| 18|  5|2001|  1:60|Subaru Legacy Touring Wagon
m| 18|  6|2004|  1:59|Nissan Wingroad
m| 18|  7|2008|  1:64|Jeep Wrangler
m| 18|  8|2010|      |Large Car Blower
m| 18|  9|2013|  1:69|Nissan NV350 Caravan Ambulance

m| 19|  1|1971|  1:54|Honda Tn360 Van
m| 19|  2|1976|      |Kawasaki KV-107II
m| 19|  3|1985|      |Hino Bulk Trailer
m| 19|  4|1992| 1:102|Mitsubishi Fuso Wing Body Truck
m| 19|  5|2005|  1:57|Suzuki Alto
m| 19|  6|2007|  1:56|Daihatsu Mira
m| 19|  7|2011|  1:65|Chevrolet Camaro

m| 20|  1|1971|  1:54|Honda Tn360 Postal
m| 20|  2|1976| 1:102|Nissan Diesel Panel Van
m| 20|  3|1980|  1:65|Nissan Skyline 2000Rs-Turbo
m| 20|  4|1982|  1:65|Nissan Skyline 2000Turbo GT-ES
m| 20|  5|1986|  1:62|Nissan Skyline R31
m| 20|  6|1990|  1:59|Nissan Skyline GT-R R32
m| 20|  7|1995|  1:60|Nissan Skyline GT-R R33
m| 20|  8|1999|  1:62|Nissan Skyline GT-R R34
m| 20|  9|2005|  1:57|Daihatsu Move Custom
m| 20| 10|2009|  1:60|Honda Insight
m| 20| 11|2013|      |Honda N Box

m| 21|  1|1971|  1:62|Datsun Skyline 2000GT
m| 21|  2|1975|  1:62|Datsun Skyline 2000GT Racing
m| 21|  3|1980|  1:50|Daihatsu Midget Van
m| 21|  4|1983|  1:50|Subaru 360
m| 21|  5|1997|  1:64|Honda Stepwagon
m| 21|  6|2006|  1:64|Honda Step Wagon
m| 21|  7|2010|  1:64|Honda Step Wagon

m| 22|  1|1971|      |Nissan R-382
m| 22|  2|1980|  1:90|Nissan Diesel Condor Fire Truck
m| 22|  3|1983|  1:60|Nissan Pulsar Exa
m| 22|  4|1987| 1:120|Nissan Diesel Fire Ladder
m| 22|  5|2009|  1:60|Nissan Note
m| 22|  6|2011|  1:88|Mercedes-Benz Unimog

m| 23|  1|1971|  1:58|Toyota 7
m| 23|  2|1980|  1:51|Honda Sports 800M
m| 23|  3|1983|  1:61|Toyota Sprinter Carib
