formatter|pic/lesney|mline|Matchbox Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
dir|CAT|pic/man
dir|RW|pic/man
dir|SF|pic/man
dir|K|pic/king
dir|M|pic/king
dir|Y|pic/mcoll
SF|1976|1981|11|3|Car Transporter|MB011
RW|1956|1958|12|1|Land Rover (1 3/4")
RW|1959|1964|12|2|Land Rover (2 1/4")
RW|1965|1969|12|3|Safari Land Rover
SF|1970|1970|12|1|Safari Land Rover
SF|1971|1974|12|2|Setra Coach
SF|1975|1978|12|3|Big Bull
SF|1979|1981|12|4|Citroen CX|MB012
RW|1956|1957|13|1|Bedford Wreck Truck (2")
RW|1958|1960|13|2|Bedford Wreck Truck (2 1/8")
RW|1961|1964|13|3|Thames Wreck Truck
RW|1965|1969|13|4|Dodge Wreck Truck
SF|1970|1970|13|1|Dodge Wreck Truck
SF|1971|1976|13|2|Baja Buggy
SF|1977|1981|13|3|Snorkel Fire Engine|MB013
RW|1956|1957|14|1|Daimler Ambulance (1 7/8")
RW|1958|1961|14|2|Daimler Ambulance (2 5/8")
RW|1962|1967|14|3|Bedford Ambulance
RW|1968|1969|14|4|Iso Grifo
SF|1969|1974|14|1|Iso Grifo
SF|1975|1980|14|2|Mini Ha Ha
SF|1981|1981|14|3|Rallye Royale|MB080
RW|1956|1958|15|1|Prime Mover
RW|1959|1962|15|2|Atlantic Prime Mover
RW|1963|1967|15|3|Refuse Truck
RW|1968|1969|15|4|Volkswagen 1500 Saloon
SF|1969|1971|15|1|Volkswagen 1500
SF|1972|1980|15|2|Fork Lift Truck|MB015
SF|1981|1981|15|3|Hi Ho Silver|MB081
RW|1956|1956|16|1|Atlantic Trailer (6 wheels)
RW|1957|1963|16|2|Atlantic Trailer (8 wheels)
RW|1964|1968|16|3|Scammell Mountaineer Snowplow
RW|1969|1973|16|4|Case Bulldozer
SF|1974|1978|16|1|Badger
SF|1979|1981|16|2|Pontiac|MB016
RW|1956|1957|17|1|Bedford Removal Van (no #)
RW|1958|1959|17|2|Bedford Removal Van
RW|1960|1962|17|3|Austin Taxi Cab
RW|1963|1968|17|4|Hoveringham Tipper
RW|1969|1969|17|5|Horse Box
SF|1970|1971|17|1|Horse Box
SF|1972|1981|17|2|The Londoner|MB017
RW|1956|1957|18|1|Caterpillar Bulldozer (1 7/8")
RW|1958|1960|18|2|Caterpillar Bulldozer (2")
RW|1961|1963|18|3|Caterpillar Bulldozer (2 1/4")
RW|1964|1968|18|4|Caterpillar Bulldozer (2 3/8")
RW|1969|1969|18|5|Field Car
SF|1970|1974|18|1|Field Car
SF|1975|1981|18|2|Hondarora|MB018
RW|1956|1957|19|1|MG Sports Car
RW|1958|1960|19|2|MGA Sports Car
RW|1961|1965|19|3|Aston Martin Racing Car
RW|1966|1969|19|4|Lotus Racing Car
SF|1970|1970|19|1|Lotus Racer
SF|1971|1975|19|2|Road Dragster
SF|1976|1981|19|3|Peterbilt Cement Truck|MB019
RW|1956|1958|20|1|ERF Lorry Stake Truck
RW|1959|1964|20|2|ERF 686 Truck
RW|1965|1969|20|3|Chevrolet Impala Taxi Cab
SF|1969|1974|20|1|Lamborghini Marzal
